eventId,userId,hintType,eventType,action,modalType,challengeId,exerciseId,exerciseIndex,attemptNumber,timestamp
kwHpTouCcQAkWj63NaEn,1nyxhWBE11Xdk7Z01CwbQFOoG4n1,kinesthetic,hint,kinesthetic_run,,challenge-02,challenge-02-kinesthetic-1,0.0,1.0,14:29:33
kxQDFGIi0yxidzEsLm1Z,C6Ccvx84rmhhMsknuMMmSwJMewY2,kinesthetic,hint,kinesthetic_run,,challenge-03,challenge-03-kinesthetic-1,0.0,1.0,06:35:16
l0NqCj9b5V3T2FMjkwoX,zFa9MeNb4obPmflz1NI2tj9LaOo1,visual,ui,modal_open,visual,challenge-03,,,,17:26:41
l12QOiNp2bFKLGr9wB3h,RHRRZpFHc9Q6dxhtq5y2N7TV7M23,kinesthetic,hint,kinesthetic_run,,challenge-02,challenge-02-kinesthetic-2,1.0,1.0,07:46:24
l1KSxwVZSKhoMgShxiiu,SpkysL7WcUgpILEQovruJSrPCV43,reading,ui,modal_open,read,challenge-04,,,,08:05:30
l51pnaHkpYu2PiW4kJKu,t8fS4QO0AQVhCJewCrMTuroYXyE2,visual,ui,modal_open,visual,challenge-03,,,,14:58:01
l5C1tq1ShzPUiyAOezAP,M8IOfNHJ3DPsU6GBcaI1irL29S13,visual,ui,modal_open,visual,challenge-04,,,,05:07:47
l5MgiVcutrqo9SQVHqmJ,gf9guM95zAPjbbs3GPG9JRSNE6r1,aural,hint,aural_used,,challenge-03,,,,15:29:23
l7JyTVetZYG2FonGrwLa,qzojRqsLMoOzMSHIXQBRpO88XHe2,reading,ui,modal_open,read,challenge-04,,,,16:22:49
l7j2uRbxS6HPM43N5oNc,4ymQ69qFixb38txdo6V1AMYF5dJ2,visual,ui,modal_open,visual,challenge-01,,,,12:06:24
lD2ZDANrhtDBEaB4orwi,FoqmXfwfq1csYj8njGP8DWa2b543,visual,ui,modal_open,visual,challenge-03,,,,07:17:53
lF837pZ0jWzxVqAak2vY,J8ZREvrXeTYfES1xf5aZwr7KtO72,visual,ui,modal_open,visual,challenge-02,,,,15:13:21
lHaH9fKSx8ANujHOwCC0,A4jNJ7YkZRUXxEuM6xDnsneFEii1,reading,ui,modal_open,read,challenge-02,,,,03:03:13
lKldDxIV9LOnEtIsnkIa,CXZF0zsEaDX2g90jaGS0oALibqI3,kinesthetic,hint,kinesthetic_run,,challenge-01,challenge-01-kinesthetic-3,2.0,1.0,11:51:39
lOLlyM1M5QOvjN32gQsL,XTWtpCzOEKZsTPjHofRGosbeeNi1,reading,ui,modal_open,read,challenge-01,,,,16:21:35
lU3tlC3G5ivZ4dNW380W,mA4K28wQEaQ7p3mtV23sqKUFFRt1,reading,ui,modal_open,read,challenge-03,,,,20:46:16
lVE6oNGNxKbdwIzHCgtc,M8IOfNHJ3DPsU6GBcaI1irL29S13,reading,ui,modal_open,read,challenge-04,,,,05:09:46
lVlJ05oAmSvEteQbwX9M,Dqn9P8A3UZT57A8qdjJjGy92X6y1,aural,hint,aural_used,,challenge-01,,,,20:52:48
lbqoUNAM7A0yejCO3Lon,SpkysL7WcUgpILEQovruJSrPCV43,kinesthetic,hint,kinesthetic_run,,challenge-04,challenge-04-kinesthetic-2,1.0,1.0,08:11:54
leYZrW8Lgq8aUjLBfIJf,uwRIIGr8e8OroN0bHN2cVomJQcS2,kinesthetic,hint,kinesthetic_run,,challenge-03,challenge-03-kinesthetic-3,2.0,1.0,15:00:29
lgW070an6Dx2FzcborVf,cE9VlSTzmaZpmywYk5q4WKhBf6u1,aural,hint,aural_used,,challenge-04,,,,09:15:22
lh2OJdgzxYJGhYgAumZ7,dGeqbxHxKKcHaCG0yqevXsTqbTU2,visual,ui,modal_open,visual,challenge-03,,,,03:29:31
lihmxWjLuV0ppvpfWzAx,4ymQ69qFixb38txdo6V1AMYF5dJ2,kinesthetic,hint,kinesthetic_run,,challenge-03,challenge-03-kinesthetic-2,1.0,1.0,12:15:33
lksmqoifr48q4LD0XHLs,KMzlQAe4VAgkPy6Ab4IgV6lhyBj1,visual,ui,modal_open,visual,challenge-03,,,,15:04:35
llM8bzusIS6HZ5BAbJl3,2vxmAktanfYSdKheRzVh1g10xDI2,reading,ui,modal_open,read,challenge-02,,,,10:47:13
llXWzAxY5BgCqiK369Gh,QfbR02lPZhg67NzX3cOq0LmhYMM2,reading,ui,modal_open,read,challenge-01,,,,03:43:43
lm0gI2hLVvVlYZcZMpur,RmE3k1SaRmX2WGnZsGCrpmjgtoW2,kinesthetic,hint,kinesthetic_run,,challenge-02,challenge-02-kinesthetic-3,2.0,1.0,12:30:36
lqEf9xXcI5iYfFaJfnai,oNvGORy481UCKbgYGr9XaTrHipy1,reading,ui,modal_open,read,challenge-01,,,,17:38:45
lwag8iaYnj7byOyC4RZk,0yT1bFDndvO7yF5AgnjaXLS70062,reading,ui,modal_open,read,challenge-01,,,,06:39:40
ly646EXOeJwwsmcypwmh,t4QPb6DjzsPKwFBzE49FhVjrqVy1,reading,ui,modal_open,read,challenge-02,,,,16:25:39
lyAcA3dqcZi3LWlj95Sp,dvdCoJqbFfcxP1rvUeJWot86Wiv1,kinesthetic,hint,kinesthetic_run,,challenge-04,challenge-04-kinesthetic-1,0.0,1.0,08:47:06
